Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,02
0,04	0,02
0,07	0,02
0,09	0,02
0,12	0,02
0,14	0,02
0,17	0,02
0,19	0,02
0,21	0,02
0,24	0,02
0,26	0,02
0,29	0,02
0,31	0,01
0,34	0,01
0,36	0,01
0,39	0,01
0,41	0,01
0,43	0,01
0,46	0,01
0,48	0,01
0,51	0,02
0,53	0,02
0,56	0,02
0,58	0,02
0,61	0,02
0,63	0,03
0,65	0,02
0,68	0,02
0,70	0,02
0,73	0,02
0,75	0,02
0,78	0,02
0,80	0,03
0,83	0,03
0,85	0,03
0,87	0,03
0,90	0,03
0,92	0,03
0,95	0,03
0,97	0,03
1,00	0,04
1,02	0,03
1,05	0,03
1,07	0,03
1,09	0,03
1,12	0,03
1,14	0,02
1,17	0,02
1,19	0,02
1,22	0,02
1,24	0,02
1,26	0,02
1,29	0,03
1,31	0,02
1,34	0,02
1,36	0,02
1,39	0,02
1,41	0,02
1,44	0,02
1,46	0,02
1,48	0,03
1,51	0,02
1,53	0,02
1,56	0,02
1,58	0,02
1,61	0,02
1,63	0,02
1,66	0,02
1,68	0,02
1,70	0,02
1,73	0,03
1,75	0,03
1,78	0,03
1,80	0,02
1,83	0,02
1,85	0,02
1,88	0,02
1,90	0,02
1,92	0,02
1,95	0,02
1,97	0,02
2,00	0,01
2,02	0,01
2,05	0,01
2,07	0,01
2,10	0,01
2,12	0,01
2,14	0,01
2,17	0,02
2,19	0,02
2,22	0,02
2,24	0,03
2,27	0,03
2,29	0,03
2,31	0,03
2,34	0,03
2,36	0,03
2,39	0,03
2,41	0,03
2,44	0,04
2,46	0,04
2,49	0,04
2,51	0,04
2,53	0,04
2,56	0,04
2,58	0,04
2,61	0,04
2,63	0,05
2,66	0,05
2,68	0,05
2,71	0,05
2,73	0,05
2,75	0,03
2,78	0,03
2,80	0,03
2,83	0,03
2,85	0,03
2,88	0,03
2,90	0,03
2,93	0,04
2,95	0,03
2,97	0,03
3,00	0,03
3,02	0,04
3,05	0,03
3,07	0,03
3,10	0,03
3,12	0,03
3,15	0,03
3,17	0,03
3,19	0,03
3,22	0,03
3,24	0,03
3,27	0,03
3,29	0,03
3,32	0,03
3,34	0,03
3,36	0,03
3,39	0,03
3,41	0,03
3,44	0,03
3,46	0,02
3,49	0,02
3,51	0,02
3,54	0,02
3,56	0,02
3,58	0,02
3,61	0,02
3,63	0,02
3,66	0,02
3,68	0,02
3,71	0,02
3,73	0,02
3,76	0,02
3,78	0,02
3,80	0,01
3,83	0,01
3,85	0,01
3,88	0,02
3,90	0,02
3,93	0,02
3,95	0,02
3,98	0,02
4,00	0,02
4,02	0,02
4,05	0,02
4,07	0,02
4,10	0,02
4,12	0,02
4,15	0,02
4,17	0,03
4,20	0,03
4,22	0,03
4,24	0,03
4,27	0,03
4,29	0,03
4,32	0,04
4,34	0,04
4,37	0,04
4,39	0,04
4,42	0,04
4,44	0,04
4,46	0,04
4,49	0,04
4,51	0,04
4,54	0,04
4,56	0,04
4,59	0,04
4,61	0,04
4,63	0,04
4,66	0,04
4,68	0,03
4,71	0,03
4,73	0,03
4,76	0,03
4,78	0,02
4,81	0,02
4,83	0,02
4,85	0,02
4,88	0,02
4,90	0,02
4,93	0,02
4,95	0,02
4,98	0,01
5,00	0,01
5,03	0,01
5,05	0,01
5,07	0,01
5,10	0,01
5,12	0,01
5,15	0,01
5,17	0,01
5,20	0,01
5,22	0,01
5,25	0,01
5,27	0,01
5,29	0,01
5,32	0,01
5,34	0,01
5,37	0,01
5,39	0,01
5,42	0,01
5,44	0,01
5,47	0,01
5,49	0,01
5,51	0,01
5,54	0,02
5,56	0,02
5,59	0,02
5,61	0,02
5,64	0,02
5,66	0,02
5,68	0,02
5,71	0,02
5,73	0,02
5,76	0,02
5,78	0,02
5,81	0,02
5,83	0,02
5,86	0,02
5,88	0,02
5,90	0,03
5,93	0,03
5,95	0,03
5,98	0,03
6,00	0,04
6,03	0,04
6,05	0,04
6,08	0,04
6,10	0,05
6,12	0,04
6,15	0,04
6,17	0,05
6,20	0,06
6,22	0,06
6,25	0,05
6,27	0,05
6,30	0,07
6,32	0,07
6,34	0,07
6,37	0,07
6,39	0,07
6,42	0,07
6,44	0,07
6,47	0,08
6,49	0,09
6,52	0,09
6,54	0,09
6,56	0,09
6,59	0,10
6,61	0,10
6,64	0,11
6,66	0,11
6,69	0,13
6,71	0,12
6,73	0,12
6,76	0,13
6,78	0,14
6,81	0,13
6,83	0,14
6,86	0,15
6,88	0,17
6,91	0,16
6,93	0,16
6,95	0,18
6,98	0,19
